BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TOTAL_PURCHASES,PURCHASE_TYPE_RATIO,CREDIT_UTILIZATION,PAYMENT_RATIO,REVOLVER_FLAG,CASH_USAGE_RATIO,ACTIVITY_INDEX
40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0.0,2.0,1000.0,201.802084,139.509787,0.0,95.4,0.0,0.04090074895909925,4.93394580783971,1,0.0,2.818182
3202.467416,0.909091,0.0,0.0,0.0,2784.6716350000006,0.0,0.0,0.0,0.25,4.0,0.0,7000.0,4103.032597,1072.340217,0.222222,0.0,0.0,0.4574953450775006,1.2812097869347348,1,50.79193536708065,1.159091
2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,0.75,0.0,0.0,0.0,12.0,7500.0,622.066742,627.284787,0.0,773.17,0.9999999987066234,0.3326865148889751,0.24931047250305882,1,0.0,14.0
1666.670542,0.7222225000000001,1499.0,1444.5750000000003,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1.0,1.0,7500.0,0.0,857.062706,0.0,1499.0,0.9999999993328885,0.22222273890370364,0.0,1,0.13728353359754267,1.8030300000000001
817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,1200.0,678.334763,244.791237,0.0,16.0,0.9999999375000038,0.6814286119321428,0.8295497989165741,1,0.0,2.083333
1809.828751,1.0,1333.28,0.0,1171.625,0.0,0.666667,0.0,0.583333,0.0,0.0,8.0,1800.0,1400.05777,1886.3433455,0.0,1333.28,0.0,1.005460416663633,0.7735857707271079,1,0.0,9.0
627.260806,1.0,2715.7250000000004,1444.5750000000003,688.38,0.0,1.0,0.75,1.0,0.0,0.0,41.0,13500.0,4178.274025000001,198.065894,0.35714250000000003,7091.01,0.9029221505959063,0.046463763403965644,10.130258828685275,0,0.0,42.897727
1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2300.0,679.065082,532.03399,0.0,436.2,0.0,0.792892496611786,0.37236534435308033,1,0.0,13.0
1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0.0,5.0,7000.0,688.278568,311.963409,0.0,861.49,0.7678440831955751,0.14498949612214435,0.6781560887729883,1,0.0,6.083333
152.225975,0.7222225000000001,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,3.0,11000.0,1164.770591,100.302262,0.0,1281.6,0.9999999992197253,0.013838724998741935,7.65158891804379,1,0.0,3.712122
1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1200.0,1083.301007,1886.3433455,0.0,920.12,0.0,1.07760411493533,0.8377388553034945,1,0.0,13.0
630.794744,0.818182,1492.18,1444.5750000000003,0.0,0.0,0.25,0.25,0.0,0.0,0.0,6.0,2000.0,705.618627,155.549069,0.0,1492.18,0.9999999993298395,0.3153973718423013,1.1186184295178299,1,0.0,7.068182
1516.92862,1.0,2715.7250000000004,1444.5750000000003,717.76,0.0,1.0,0.25,0.916667,0.0,0.0,26.0,3000.0,608.263689,490.207013,0.25,3217.99,0.7769539368435099,0.5056428731647857,0.4009837249949284,1,0.0,27.25
921.693369,1.0,2137.93,419.96,1171.625,0.0,0.75,0.166667,0.75,0.0,0.0,26.0,7500.0,1655.891435,251.137986,0.083333,2137.93,0.19643299818215143,0.12289244918361433,1.7965751831327592,1,0.0,27.166667
2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1.0,0.0,3000.0,805.647974,989.962866,0.0,0.0,0.0,0.9242575776919142,0.2905568003574588,1,50.79193536708065,1.083333
4943.383447,1.0,1611.7,0.0,1171.625,2301.491267,0.5,0.0,0.5,0.166667,4.0,11.0,8000.0,1993.439277,1886.3433455,0.0,1611.7,0.0,0.8607766537674029,0.28948265321447714,1,1.4279898650940062,12.166667
2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3.0,0.0,3000.0,391.974562,376.579631,0.0,0.0,0.0,0.6906914511031028,0.18917012367541225,1,50.79193536708065,1.125
41.089489,0.7222225000000001,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0.0,8.0,2500.0,254.590662,73.203221,0.25,519.0,0.0,0.016435795593425683,6.196004428383025,1,0.0,8.454545
1989.072228,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0.0,9.0,13000.0,1720.837373,744.613395,0.0,504.35,0.3291365116900238,0.15300555598823035,0.8651457437848528,1,0.0,10.083333
3577.970933,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0.0,12.0,4000.0,1053.980464,1886.3433455,0.0,398.64,0.0,0.8944927330263769,0.29457490947856874,1,0.0,13.0
2016.684686,1.0,176.68,0.0,176.68,0.0,0.666667,0.0,0.666667,0.0,0.0,8.0,2000.0,223.0686,1886.3433455,0.0,176.68,0.0,1.0083423424958289,0.11061154053380283,1,0.0,9.0
4943.383447,1.0,2715.7250000000004,1444.5750000000003,449.91,229.028245,1.0,0.75,1.0,0.333333,6.0,41.0,11250.0,2077.959051,1659.775075,0.0,6359.95,0.9292588776752555,0.5661805615496729,0.3262342151928117,1,0.036011013445701456,42.897727
132.34224,0.7222225000000001,815.9,0.0,815.9,0.0,1.0,0.0,1.0,0.0,0.0,17.0,1800.0,2359.629958,86.329554,0.0,815.9,0.0,0.0735234666258203,17.829756698770122,1,0.0,17.636364
3800.151377,0.818182,2715.7250000000004,1444.5750000000003,793.79,2784.6716350000006,1.0,0.083333,0.916667,0.333333,10.0,13.0,9000.0,4178.274025000001,1425.426525,0.0,4248.35,0.8131533416942686,0.4222390418419734,2.494385854436349,1,1.8770618296804493,14.234848
4943.383447,1.0,0.0,0.0,0.0,798.949863,0.0,0.0,0.0,0.363636,4.0,0.0,6000.0,1422.726707,1657.002877,0.0,0.0,0.0,0.8947618696842063,0.2650103069695329,1,50.79193536708065,1.363636
169.781679,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0.0,12.0,3000.0,215.306142,163.005536,0.0,399.6,0.0,0.05659389298113537,1.2681353017592947,1,0.0,13.0
1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5.0,2.0,1700.0,890.178845,971.183209,0.0,102.0,0.9999999901960785,0.9505689641467241,0.5508644126035226,1,2.4003968882314033,3.416667
125.694817,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1000.0,207.773715,164.748819,0.0,233.28,0.0,0.12569481687430517,1.6530014387705307,1,0.0,13.0
4943.383447,1.0,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.555555,10.0,8.0,10500.0,1601.448347,1648.851345,0.0,387.05,0.5284846905348541,0.6812251782208357,0.2238890972188716,1,5.77740667413149,10.0
22.06349,1.0,100.0,0.0,100.0,0.0,0.416667,0.0,0.416667,0.0,0.0,5.0,6900.0,160.767773,159.684442,0.0,100.0,0.0,0.0031976072459133902,7.286597256979867,1,0.0,6.0
